sim_time,sys_total_stopped
5.0,1
10.0,1
15.0,0
20.0,0
25.0,1
30.0,1
35.0,2
40.0,5
45.0,5
50.0,7
55.0,7
60.0,5
65.0,8
70.0,9
75.0,8
80.0,8
85.0,9
90.0,9
95.0,13
100.0,16
105.0,15
110.0,16
115.0,15
120.0,17
125.0,17
130.0,26
135.0,28
140.0,31
145.0,32
150.0,27
155.0,30
160.0,31
165.0,33
170.0,38
175.0,40
180.0,31
185.0,35
190.0,36
195.0,45
200.0,45
205.0,43
210.0,42
215.0,42
220.0,40
225.0,40
230.0,48
235.0,48
240.0,46
245.0,43
250.0,49
255.0,50
260.0,51
265.0,58
270.0,57
275.0,51
280.0,53
285.0,51
290.0,57
295.0,56
300.0,53
305.0,62
310.0,62
315.0,68
320.0,71
325.0,64
330.0,64
335.0,59
340.0,59
345.0,70
350.0,75
355.0,89
360.0,99
365.0,98
370.0,96
375.0,95
380.0,87
385.0,87
390.0,78
395.0,78
400.0,90
405.0,86
410.0,95
415.0,91
420.0,94
425.0,100
430.0,96
435.0,100
440.0,90
445.0,88
450.0,91
455.0,99
460.0,106
465.0,114
470.0,122
475.0,125
480.0,123
485.0,119
490.0,117
495.0,105
500.0,103
505.0,110
510.0,109
515.0,114
520.0,119
525.0,130
530.0,121
535.0,108
540.0,102
545.0,102
550.0,104
555.0,96
560.0,91
565.0,96
570.0,104
575.0,108
580.0,105
585.0,99
590.0,108
595.0,109
600.0,114
605.0,123
610.0,129
615.0,120
620.0,113
625.0,110
630.0,118
635.0,114
640.0,107
645.0,113
650.0,123
655.0,123
660.0,111
665.0,101
670.0,97
675.0,101
680.0,99
685.0,95
690.0,108
695.0,106
700.0,115
705.0,121
710.0,133
715.0,139
720.0,134
725.0,135
730.0,137
735.0,133
740.0,124
745.0,127
750.0,123
755.0,130
760.0,137
765.0,134
770.0,125
775.0,123
780.0,122
785.0,124
790.0,126
795.0,127
800.0,122
805.0,122
810.0,113
815.0,129
820.0,127
825.0,130
830.0,133
835.0,131
840.0,130
845.0,133
850.0,133
855.0,126
860.0,133
865.0,128
870.0,132
875.0,127
880.0,134
885.0,137
890.0,132
895.0,149
900.0,154
905.0,157
910.0,161
915.0,159
920.0,153
925.0,151
930.0,148
935.0,138
940.0,139
945.0,144
950.0,155
955.0,164
960.0,178
965.0,165
970.0,158
975.0,150
980.0,171
985.0,169
990.0,162
995.0,149
1000.0,146
1005.0,141
1010.0,149
1015.0,153
1020.0,148
1025.0,143
1030.0,150
1035.0,124
1040.0,129
1045.0,126
1050.0,120
1055.0,118
1060.0,128
1065.0,145
1070.0,162
1075.0,158
1080.0,158
1085.0,160
1090.0,166
1095.0,174
1100.0,170
1105.0,176
1110.0,159
1115.0,162
1120.0,149
1125.0,147
1130.0,151
1135.0,143
1140.0,139
1145.0,132
1150.0,118
1155.0,126
1160.0,126
1165.0,142
1170.0,153
1175.0,144
1180.0,172
1185.0,182
1190.0,153
1195.0,157
1200.0,164
1205.0,171
1210.0,180
1215.0,158
1220.0,150
1225.0,144
1230.0,133
1235.0,125
1240.0,134
1245.0,128
1250.0,123
1255.0,115
1260.0,131
1265.0,129
1270.0,136
1275.0,140
1280.0,148
1285.0,143
1290.0,151
1295.0,154
1300.0,166
1305.0,178
1310.0,170
1315.0,167
1320.0,163
1325.0,159
1330.0,170
1335.0,157
1340.0,147
1345.0,152
1350.0,164
1355.0,165
1360.0,154
1365.0,159
1370.0,158
1375.0,146
1380.0,136
1385.0,125
1390.0,143
1395.0,142
1400.0,132
1405.0,121
1410.0,121
1415.0,123
1420.0,138
1425.0,153
1430.0,149
1435.0,157
1440.0,165
1445.0,170
1450.0,167
1455.0,143
1460.0,150
1465.0,143
1470.0,127
1475.0,116
1480.0,124
1485.0,137
1490.0,137
1495.0,150
1500.0,148
1505.0,160
1510.0,148
1515.0,134
1520.0,142
1525.0,142
1530.0,145
1535.0,147
1540.0,149
1545.0,132
1550.0,126
1555.0,134
1560.0,125
1565.0,121
1570.0,118
1575.0,125
1580.0,125
1585.0,118
1590.0,126
1595.0,148
1600.0,156
1605.0,156
1610.0,169
1615.0,176
1620.0,184
1625.0,182
1630.0,159
1635.0,159
1640.0,170
1645.0,162
1650.0,161
1655.0,157
1660.0,145
1665.0,128
1670.0,122
1675.0,119
1680.0,125
1685.0,131
1690.0,111
1695.0,107
1700.0,119
1705.0,129
1710.0,139
1715.0,162
1720.0,155
1725.0,158
1730.0,161
1735.0,168
1740.0,166
1745.0,158
1750.0,167
1755.0,136
1760.0,129
1765.0,134
1770.0,132
1775.0,117
1780.0,127
1785.0,128
1790.0,131
1795.0,148
1800.0,171
1805.0,156
1810.0,141
1815.0,128
1820.0,127
1825.0,118
1830.0,125
1835.0,125
1840.0,125
1845.0,121
1850.0,133
1855.0,141
1860.0,134
1865.0,131
1870.0,137
1875.0,129
1880.0,123
1885.0,128
1890.0,139
1895.0,136
1900.0,124
1905.0,127
1910.0,136
1915.0,136
1920.0,134
1925.0,112
1930.0,120
1935.0,113
1940.0,118
1945.0,127
1950.0,121
1955.0,115
1960.0,130
1965.0,141
1970.0,129
1975.0,129
1980.0,130
1985.0,128
1990.0,120
1995.0,116
2000.0,101
2005.0,100
2010.0,106
2015.0,104
2020.0,119
2025.0,109
2030.0,121
2035.0,127
2040.0,130
2045.0,139
2050.0,145
2055.0,148
2060.0,138
2065.0,135
2070.0,147
2075.0,145
2080.0,137
2085.0,130
2090.0,137
2095.0,128
2100.0,110
2105.0,123
2110.0,139
2115.0,158
2120.0,167
2125.0,166
2130.0,143
2135.0,156
2140.0,157
2145.0,143
2150.0,139
2155.0,142
2160.0,128
2165.0,128
2170.0,112
2175.0,110
2180.0,122
2185.0,121
2190.0,125
2195.0,125
2200.0,126
2205.0,130
2210.0,141
2215.0,150
2220.0,141
2225.0,133
2230.0,113
2235.0,100
2240.0,105
2245.0,107
2250.0,117
2255.0,120
2260.0,125
2265.0,116
2270.0,124
2275.0,140
2280.0,132
2285.0,139
2290.0,126
2295.0,116
2300.0,118
2305.0,106
2310.0,115
2315.0,126
2320.0,114
2325.0,110
2330.0,110
2335.0,106
2340.0,115
2345.0,122
2350.0,141
2355.0,144
2360.0,153
2365.0,136
2370.0,136
2375.0,147
2380.0,142
2385.0,134
2390.0,139
2395.0,123
2400.0,135
2405.0,121
2410.0,129
2415.0,148
2420.0,139
2425.0,145
2430.0,137
2435.0,138
2440.0,146
2445.0,139
2450.0,139
2455.0,136
2460.0,147
2465.0,156
2470.0,138
2475.0,138
2480.0,137
2485.0,116
2490.0,115
2495.0,108
2500.0,121
2505.0,126
2510.0,129
2515.0,136
2520.0,141
2525.0,145
2530.0,144
2535.0,133
2540.0,127
2545.0,123
2550.0,110
2555.0,102
2560.0,112
2565.0,115
2570.0,119
2575.0,128
2580.0,126
2585.0,126
2590.0,120
2595.0,130
2600.0,124
2605.0,121
2610.0,116
2615.0,115
2620.0,127
2625.0,136
2630.0,125
2635.0,121
2640.0,133
2645.0,135
2650.0,129
2655.0,135
2660.0,119
2665.0,119
2670.0,117
2675.0,120
2680.0,122
2685.0,124
2690.0,130
2695.0,137
2700.0,144
2705.0,147
2710.0,135
2715.0,112
2720.0,112
2725.0,116
2730.0,113
2735.0,121
2740.0,122
2745.0,122
2750.0,112
2755.0,124
2760.0,114
2765.0,110
2770.0,111
2775.0,123
2780.0,134
2785.0,135
2790.0,148
2795.0,139
2800.0,120
2805.0,126
2810.0,141
2815.0,149
2820.0,166
2825.0,178
2830.0,181
2835.0,170
2840.0,138
2845.0,134
2850.0,139
2855.0,134
2860.0,135
2865.0,135
2870.0,143
2875.0,156
2880.0,155
2885.0,141
2890.0,141
2895.0,138
2900.0,138
2905.0,132
2910.0,130
2915.0,126
2920.0,135
2925.0,137
2930.0,144
2935.0,142
2940.0,161
2945.0,139
2950.0,138
2955.0,143
2960.0,151
2965.0,149
2970.0,139
2975.0,144
2980.0,143
2985.0,151
2990.0,154
2995.0,156
3000.0,153
